epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,39.2808,0.61362,0.69051,1.061,0.9565,0.38826,0.42183,0.30693,1.835,2.49155,1.55098,2.55731e-05,2.55731e-05,2.55731e-05
72,39.772,0.48552,0.82472,1.02926,0.93713,0.39383,0.42203,0.30725,1.82434,2.47913,1.5379,2.5102e-05,2.5102e-05,2.5102e-05
73,40.2661,0.69454,0.78041,1.11709,0.93713,0.39383,0.42203,0.30725,1.82434,2.47913,1.5379,2.46073e-05,2.46073e-05,2.46073e-05
74,40.7862,0.56013,0.65393,1.07947,0.93713,0.39383,0.42203,0.30725,1.82434,2.47913,1.5379,2.40891e-05,2.40891e-05,2.40891e-05
75,41.2625,0.75447,0.79707,1.11345,0.92522,0.3995,0.4226,0.30717,1.79497,2.44201,1.49862,2.35472e-05,2.35472e-05,2.35472e-05
76,41.7363,0.58343,0.62561,1.03595,0.92522,0.3995,0.4226,0.30717,1.79497,2.44201,1.49862,2.29819e-05,2.29819e-05,2.29819e-05
77,42.2317,0.72073,0.92455,1.09613,0.92522,0.3995,0.4226,0.30717,1.79497,2.44201,1.49862,2.23929e-05,2.23929e-05,2.23929e-05
78,42.7656,0.88253,1.07775,1.30373,0.89614,0.4,0.42246,0.29902,1.78229,2.42194,1.4751,2.17805e-05,2.17805e-05,2.17805e-05
79,43.25,0.68867,0.91591,1.14463,0.89614,0.4,0.42246,0.29902,1.78229,2.42194,1.4751,2.11444e-05,2.11444e-05,2.11444e-05
80,43.7633,0.59133,0.56429,1.01188,0.89614,0.4,0.42246,0.29902,1.78229,2.42194,1.4751,2.04848e-05,2.04848e-05,2.04848e-05
81,44.591,0.58438,1.26848,1.0906,0.89171,0.4,0.42211,0.30739,1.79529,2.45242,1.48917,1.98016e-05,1.98016e-05,1.98016e-05
82,45.2725,0.66123,0.66832,1.23228,0.89171,0.4,0.42211,0.30739,1.79529,2.45242,1.48917,1.90949e-05,1.90949e-05,1.90949e-05
83,45.8818,0.68891,0.80105,1.28163,0.89171,0.4,0.42211,0.30739,1.79529,2.45242,1.48917,1.83646e-05,1.83646e-05,1.83646e-05
84,46.5282,0.70961,0.77759,1.06964,0.89533,0.4,0.42568,0.28832,1.81586,2.39291,1.49551,1.76107e-05,1.76107e-05,1.76107e-05
85,47.5272,0.6773,0.86503,1.16644,0.89533,0.4,0.42568,0.28832,1.81586,2.39291,1.49551,1.68333e-05,1.68333e-05,1.68333e-05
86,48.1333,0.59436,0.99775,1.07723,0.89533,0.4,0.42568,0.28832,1.81586,2.39291,1.49551,1.60323e-05,1.60323e-05,1.60323e-05
87,48.6264,1.20394,1.64604,1.61077,0.89533,0.4,0.42568,0.28832,1.81586,2.39291,1.49551,1.52077e-05,1.52077e-05,1.52077e-05
88,49.1253,0.60981,0.88377,1.08009,0.86743,0.4,0.42647,0.28853,1.82635,2.40374,1.51657,1.43596e-05,1.43596e-05,1.43596e-05
89,49.6093,0.43929,0.84421,1.09608,0.86743,0.4,0.42647,0.28853,1.82635,2.40374,1.51657,1.34879e-05,1.34879e-05,1.34879e-05
90,50.0778,0.87962,0.96377,1.27299,0.86743,0.4,0.42647,0.28853,1.82635,2.40374,1.51657,1.25927e-05,1.25927e-05,1.25927e-05
91,60.2694,0.54053,0.6145,0.9722,0.86743,0.4,0.42647,0.28853,1.82635,2.40374,1.51657,1.16739e-05,1.16739e-05,1.16739e-05
92,61.2503,0.50968,0.48897,0.84335,0.85103,0.4,0.42427,0.2991,1.80925,2.42714,1.49035,1.07315e-05,1.07315e-05,1.07315e-05
93,61.8614,0.55848,0.5847,0.92839,0.85103,0.4,0.42427,0.2991,1.80925,2.42714,1.49035,9.76562e-06,9.76562e-06,9.76562e-06
94,62.3967,0.59718,0.52715,1.02324,0.85103,0.4,0.42427,0.2991,1.80925,2.42714,1.49035,8.77613e-06,8.77613e-06,8.77613e-06
95,62.8763,0.51453,0.51098,0.96788,0.85103,0.4,0.42427,0.2991,1.80925,2.42714,1.49035,7.76308e-06,7.76308e-06,7.76308e-06
96,63.3391,0.70891,0.62075,1.2558,0.86224,0.4,0.42548,0.30004,1.84814,2.48023,1.51416,6.72648e-06,6.72648e-06,6.72648e-06
97,63.8127,0.55566,0.54154,0.99054,0.86224,0.4,0.42548,0.30004,1.84814,2.48023,1.51416,5.6663e-06,5.6663e-06,5.6663e-06
98,64.2783,0.60764,0.61014,1.06451,0.86224,0.4,0.42548,0.30004,1.84814,2.48023,1.51416,4.58257e-06,4.58257e-06,4.58257e-06
99,64.7517,0.45346,0.52646,0.92721,0.86224,0.4,0.42548,0.30004,1.84814,2.48023,1.51416,3.47528e-06,3.47528e-06,3.47528e-06
100,65.2457,0.51602,0.4669,0.97054,0.89472,0.4,0.42331,0.29935,1.87842,2.52851,1.53798,2.34442e-06,2.34442e-06,2.34442e-06
